Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1951/1/1,,76,,0,,
1951/1/2,,76,,0,,
1951/1/3,,71,,0,,
1951/1/4,,66,,0,,
1951/1/5,,67,,0.03,,
1951/1/6,,80,,0,,
1951/1/7,,76,,0.01,,
1951/1/8,,76,,0,,
1951/1/9,,77,,0,,
1951/1/10,,55,,0.54,,
1951/1/11,,44,,0.39,,
1951/1/12,,40,,0.43,,
1951/1/13,,41,,0.27,,
1951/1/14,,49,,0,,
1951/1/15,,51,,0,,
1951/1/16,,62,,0,,
1951/1/17,,57,,0,,
1951/1/18,,58,,0,,
1951/1/19,,65,,0,,
1951/1/20,,62,,0,,
1951/1/21,,58,,0,,
1951/1/22,,51,,0,,
1951/1/23,,45,,0.12,,
1951/1/24,,44,,0.34,,
1951/1/25,,45,,0.52,,
1951/1/26,,47,,0.51,,
1951/1/27,,51,,0.11,,
1951/1/28,,66,,0.3,,
1951/1/29,,70,,0,,
1951/1/30,,74,,0,,
1951/1/31,,77,,0,,
1951/2/1,,77,,0,,
1951/2/2,,74,,0,,
1951/2/3,,74,,0,,
1951/2/4,,76,,0,,
1951/2/5,,63,,0,,
1951/2/6,,70,,0,,
1951/2/7,,67,,0,,
1951/2/8,,73,,0,,
1951/2/9,,79,,0,,
1951/2/10,,60,,0,,
1951/2/11,,52,,0.15,,
1951/2/12,,52,,0,,
1951/2/13,,51,,0.11,,
1951/2/14,,61,,0,,
1951/2/15,,52,,0.11,,
1951/2/16,,58,,0,,
1951/2/17,,63,,0,,
1951/2/18,,70,,0,,
1951/2/19,,72,,0,,
1951/2/20,,77,,0,,
1951/2/21,,73,,0,,
1951/2/22,,83,,0,,
1951/2/23,,77,,0,,
1951/2/24,,75,,0,,
1951/2/25,,59,,0,,
1951/2/26,,53,,0.02,,
1951/2/27,,50,,0,,
1951/2/28,,50,,0,,
1951/3/1,,52,,0,,
1951/3/2,,44,,0,,
1951/3/3,,42,,0.01,,
1951/3/4,,44,,0.11,,
1951/3/5,,49,,0.11,,
1951/3/6,,56,,0.25,,
1951/3/7,,65,,0,,
1951/3/8,,60,,0,,
1951/3/9,,67,,0.04,,
1951/3/10,,81,,0,,
1951/3/11,,78,,0,,
1951/3/12,,67,,0.26,,
1951/3/13,,53,,0.08,,
1951/3/14,,52,,0.04,,
1951/3/15,,53,,0.02,,
1951/3/16,,55,,0.19,,
1951/3/17,,61,,0.01,,
1951/3/18,,74,,0.01,,
1951/3/19,,70,,1.21,,
1951/3/20,,63,,0.02,,
1951/3/21,,63,,1.51,,
1951/3/22,,55,,0.55,,
1951/3/23,,57,,1.37,,
1951/3/24,,61,,0.42,,
1951/3/25,,70,,0.03,,
1951/3/26,,78,,0.02,,
1951/3/27,,75,,0.01,,
1951/3/28,,69,,0.29,,
1951/3/29,,57,,0.04,,
1951/3/30,,57,,0.1,,
1951/3/31,,65,,0,,
1951/4/1,,70,,1.53,,
1951/4/2,,76,,0.11,,
1951/4/3,,69,,0.3,,
1951/4/4,,61,,0.17,,
1951/4/5,,63,,0.19,,
1951/4/6,,61,,0.06,,
1951/4/7,,70,,0.01,,
1951/4/8,,69,,0,,
1951/4/9,,65,,0.1,,
1951/4/10,,70,,0,,
1951/4/11,,75,,0,,
1951/4/12,,68,,0,,
1951/4/13,,65,,0.06,,
1951/4/14,,67,,2.17,,
1951/4/15,,70,,0.85,,
1951/4/16,,78,,0.92,,
1951/4/17,,78,,0.78,,
1951/4/18,,80,,0.14,,
1951/4/19,,78,,1.34,,
1951/4/20,,78,,0.35,,
1951/4/21,,80,,0,,
1951/4/22,,82,,0.22,,
